FLIGHT_MONTH,YEAR,MONTH,STATE_NAME,STATE_CODE,CO2_QTY_TONNES,TF,NOTE
2025-06-01,2025,6,ROMANIA,LR,149449.46444,10722,FALSE
2025-06-01,2025,6,SERBIA,LY,62621.89144,4581,FALSE
2025-06-01,2025,6,SLOVAKIA,LZ,24916.09276,2060,FALSE
2025-06-01,2025,6,SLOVENIA,LJ,10316.63498,1459,FALSE
2025-06-01,2025,6,SPAIN,LE,1926973.0792,93071,FALSE
2025-06-01,2025,6,SWEDEN,ES,211012.92628,17522,FALSE
2025-06-01,2025,6,SWITZERLAND,LS,499455.01874,21947,FALSE
2025-06-01,2025,6,TÜRKIYE,LT,1959395.6569,74149,FALSE
2025-06-01,2025,6,UNITED KINGDOM,EG,3266256.71798,107603,TRUE
2025-07-01,2025,7,ALBANIA,LA,54429.63814,3866,FALSE
2025-07-01,2025,7,ARMENIA,UD,52047.491,2254,FALSE
2025-07-01,2025,7,AUSTRIA,LO,285664.66792,15983,FALSE
2025-07-01,2025,7,BELGIUM,EB,564565.94468,15686,FALSE
2025-07-01,2025,7,BOSNIA AND HERZEGOVINA,LQ,23729.8929,1606,FALSE
2025-07-01,2025,7,BULGARIA,LB,91543.93264,6026,FALSE
2025-07-01,2025,7,CANARY ISLANDS,GC,308556.40556,19902,FALSE
2025-07-01,2025,7,CROATIA,LD,125730.92024,10727,FALSE
2025-07-01,2025,7,CYPRUS,LC,126715.6651,5733,FALSE
2025-07-01,2025,7,CZECHIA,LK,154771.49572,9247,FALSE
2025-07-01,2025,7,DENMARK,EK,305714.18596,16096,TRUE
2025-07-01,2025,7,ESTONIA,EE,17911.30262,1919,FALSE
2025-07-01,2025,7,FINLAND,EF,199693.72188,8258,FALSE
2025-07-01,2025,7,FRANCE,LF,2145308.24558,89764,FALSE
2025-07-01,2025,7,GEORGIA,UG,92785.92976,3836,FALSE
2025-07-01,2025,7,GERMANY,ED,2644780.2114,96204,FALSE
2025-07-01,2025,7,GREECE,LG,817646.9517,48654,FALSE
2025-07-01,2025,7,HUNGARY,LH,161786.45542,6801,FALSE
2025-07-01,2025,7,ICELAND,BI,65901.1176,2651,FALSE
2025-07-01,2025,7,IRELAND,EI,358766.02708,15676,FALSE
2025-07-01,2025,7,ITALY,LI,1708217.60318,94744,FALSE
2025-07-01,2025,7,KOSOVO,BK,24505.41146,1632,FALSE
2025-07-01,2025,7,LATVIA,EV,38344.13104,3022,FALSE
2025-07-01,2025,7,LITHUANIA,EY,38355.09018,2856,FALSE
2025-07-01,2025,7,LUXEMBOURG,EL,165305.69248,3297,FALSE
2025-07-01,2025,7,MALTA,LM,58285.96978,3785,FALSE
2025-07-01,2025,7,"MOLDOVA, REPUBLIC OF",LU,39338.76038,2448,FALSE
2025-07-01,2025,7,MONACO,LN,59.787200000000006,98,FALSE
2025-07-01,2025,7,MONTENEGRO,LY,25069.94946,2149,FALSE
2025-07-01,2025,7,NETHERLANDS,EH,961852.26042,29702,FALSE
2025-07-01,2025,7,NORTH MACEDONIA,LW,17482.6473,1357,FALSE
2025-07-01,2025,7,NORWAY,EN,274767.28598,28436,TRUE
2025-07-01,2025,7,POLAND,EP,441188.50626,27479,FALSE
2025-07-01,2025,7,PORTUGAL,LP,601316.4123,27032,TRUE
2025-07-01,2025,7,ROMANIA,LR,162401.00628,11393,FALSE
2025-07-01,2025,7,SERBIA,LY,67355.18358,4943,FALSE
2025-07-01,2025,7,SLOVAKIA,LZ,27697.82192,2208,FALSE
2025-07-01,2025,7,SLOVENIA,LJ,11322.8339,1362,FALSE
2025-07-01,2025,7,SPAIN,LE,2078727.31416,98688,FALSE
2025-07-01,2025,7,SWEDEN,ES,214947.2961,15680,FALSE
2025-07-01,2025,7,SWITZERLAND,LS,542877.44362,22973,FALSE
2025-07-01,2025,7,TÜRKIYE,LT,2116206.45398,80952,FALSE
2025-07-01,2025,7,UNITED KINGDOM,EG,3422257.14694,112497,TRUE
2025-08-01,2025,8,ALBANIA,LA,56773.04712,4072,FALSE
2025-08-01,2025,8,ARMENIA,UD,53071.5029,2365,FALSE
2025-08-01,2025,8,AUSTRIA,LO,293811.05146,16215,FALSE
2025-08-01,2025,8,BELGIUM,EB,558020.2091,15145,FALSE
2025-08-01,2025,8,BOSNIA AND HERZEGOVINA,LQ,24464.2469,1636,FALSE
2025-08-01,2025,8,BULGARIA,LB,88960.84202,5922,FALSE
2025-08-01,2025,8,CANARY ISLANDS,GC,305978.09002,19837,FALSE
2025-08-01,2025,8,CROATIA,LD,122807.045,10502,FALSE
2025-08-01,2025,8,CYPRUS,LC,130443.1412,6051,FALSE
2025-08-01,2025,8,CZECHIA,LK,151385.5723,9040,FALSE
2025-08-01,2025,8,DENMARK,EK,299353.98794,16524,TRUE
2025-08-01,2025,8,ESTONIA,EE,19033.54694,1984,FALSE
2025-08-01,2025,8,FINLAND,EF,207403.72562,8965,FALSE
2025-08-01,2025,8,FRANCE,LF,2149298.2087,86027,FALSE
2025-08-01,2025,8,GEORGIA,UG,96323.82818,4062,FALSE
