YEAR,MONTH_NUM,MONTH_MON,APT_ICAO,APT_NAME,STATE_NAME,NBR_FLIGHTS_DESCENT,TOT_DIST_LEVEL_NM_DESCENT,TOT_DIST_LVL_NM_DESC_BLW_70,TOT_TIME_LEVEL_SECONDS_DESCENT,TOT_TIME_LEVEL_SEC_DESC_BLW_70,MEDIAN_CDO_ALT,NBR_CDO_FLIGHTS,NBR_CDO_FLIGHTS_BELOW_7000,TOT_DELTA_CO2_KG_DESCENT,TOT_DELTA_CO2_KG_DESC_BLW_70,NBR_FLIGHTS_CLIMB,TOT_DIST_LEVEL_NM_CLIMB,TOT_DIST_LVL_NM_CLIMB_BLW_100,TOT_TIME_LEVEL_SECONDS_CLIMB,TOT_TIME_LVL_SEC_CLIMB_BLW_100,MEDIAN_CCO_ALT,NBR_CCO_FLIGHTS,NBR_CCO_FLIGHTS_BELOW_10000,TOT_DELTA_CO2_KG_CLIMB,TOT_DELTA_CO2_KG_CLIMB_BLW_100,AIRPORT_NAME
2024,1,JAN,EDFE,Frankfurt Egelsbach,Germany,59,635.363952109977,527.638271526147,14640,13340,5000,18,21,160.1986095,50.998364499999994,34,68.95370414631537,18.747938292026937,980,300,22000,25,31,41.21723999999999,9.44774,Frankfurt Egelsbach (EDFE)
2024,1,JAN,EDFH,Frankfurt Hahn,Germany,517,10944.298460502601,2012.3017255970392,142400,48640,6461.290322580646,93,247,112688.111304,28954.906963999998,506,2966.2748845087253,260.956871226535,27480,4040,34966.2209302326,321,476,9898.0441877,2118.218394999999,Frankfurt Hahn (EDFH)
2024,1,JAN,EDFM,Mannheim,Germany,192,3749.748294768235,1202.056712407161,71960,32460,5003.390804597701,35,62,1624.3770422,722.2726511000001,175,1933.378542761705,1287.374221555262,38750,29450,13000,114,139,309.0108095,173.8614665,Mannheim (EDFM)
2024,1,JAN,EDFQ,Allendorf,Germany,15,269.98003655435406,104.907288885795,3480,1980,5095.833333333333,1,2,438.1597975,115.3585075,15,8.750250799608159,8.750250799608159,220,220,23000,13,13,1.3776,1.3776,Allendorf (EDFQ)
2024,1,JAN,EDFV,Worms,Germany,2,0,0,0,0,6000,2,2,0,0,10,26.30377977666301,26.30377977666301,900,900,6000,6,6,2.3750999999999998,2.3750999999999998,Worms (EDFV)
2024,1,JAN,EDFZ,Mainz,Germany,23,208.84915199016703,186.706973521185,5380,5080,3411.249999999999,1,2,18.810669999999998,18.810669999999998,3,11.12145401715297,3.19105619091457,180,60,21000,2,2,0,0,Mainz (EDFZ)
2024,1,JAN,EDGE,Eisenach Kindel,Germany,8,1.4398848092152698,1.4398848092152698,20,20,19000,7,7,-0.3307499999999999,-0.3307499999999999,4,0,0,0,0,19500,4,4,0,0,Eisenach Kindel (EDGE)
2024,1,JAN,EDGS,Siegerland,Germany,47,963.4985145318001,562.5510531461491,18728,12048,6000,10,14,963.0868475000001,826.7086985000001,41,189.20403808880002,63.49948933670792,2200,1120,23000,30,35,142.271351,70.91685799999999,Siegerland (EDGS)
2024,1,JAN,EDHE,Uetersen,Germany,1,0,0,0,0,5000,1,1,0,0,,,,,,,,,,,Uetersen (EDHE)
2024,1,JAN,EDHF,Itzehoe Hungriger Wolf,Germany,4,165.60452070463,165.60452070463,4700,4700,5395.081967213114,1,1,150.74876,150.74876,,,,,,,,,,,Itzehoe Hungriger Wolf (EDHF)
